school_id,department_id,school_name,department_name,category_id,category_name,school_name_abbr,department_name_abbr
6,6042,國立政治大學,教育學系,1,教育,政大,教育
6,6052,國立政治大學,教育學系(原住民公費生),1,教育,政大,教育(原住民)
6,6012,國立政治大學,中國文學系,2,藝術及人文,政大,中文
6,6252,國立政治大學,英國語文學系,2,藝術及人文,政大,英國語文
6,6282,國立政治大學,日本語文學系,2,藝術及人文,政大,日本語文
6,6262,國立政治大學,阿拉伯語文學系,2,藝術及人文,政大,阿拉伯語文
6,6292,國立政治大學,韓國語文學系,2,藝術及人文,政大,韓國語文
6,6302,國立政治大學,土耳其語文學系,2,藝術及人文,政大,土耳其語
6,6312,國立政治大學,歐洲語文學系法文組,2,藝術及人文,政大,歐洲法文
6,6322,國立政治大學,歐洲語文學系德文組,2,藝術及人文,政大,歐洲德文
6,6332,國立政治大學,歐洲語文學系西班牙文組,2,藝術及人文,政大,歐洲西班牙文
6,6272,國立政治大學,斯拉夫語文學系,2,藝術及人文,政大,斯拉夫語
6,6022,國立政治大學,歷史學系,2,藝術及人文,政大,歷史
6,6032,國立政治大學,哲學系,2,藝術及人文,政大,哲學
6,6132,國立政治大學,經濟學系,3,社會科學、新聞學及圖書資訊,政大,經濟
6,6062,國立政治大學,政治學系,3,社會科學、新聞學及圖書資訊,政大,政治
6,6072,國立政治大學,社會學系,3,社會科學、新聞學及圖書資訊,政大,社會
6,6142,國立政治大學,民族學系,2,藝術及人文,政大,民族學
6,6362,國立政治大學,心理學系,3,社會科學、新聞學及圖書資訊,政大,心理
6,6092,國立政治大學,公共行政學系,4,商業、管理及法律,政大,公共行政
6,6102,國立政治大學,地政學系土地資源規劃組,4,商業、管理及法律,政大,地政土地資源
6,6112,國立政治大學,地政學系土地管理組,4,商業、管理及法律,政大,地政土地管理
6,6122,國立政治大學,地政學系土地測量與資訊組,4,商業、管理及法律,政大,地政土地資訊
6,6152,國立政治大學,外交學系,3,社會科學、新聞學及圖書資訊,政大,外交
6,6242,國立政治大學,傳播學院大一大二不分系,3,社會科學、新聞學及圖書資訊,政大,傳播不分系
6,6182,國立政治大學,會計學系,4,商業、管理及法律,政大,會計
6,6202,國立政治大學,企業管理學系,4,商業、管理及法律,政大,企業管理
6,6162,國立政治大學,國際經營與貿易學系,4,商業、管理及法律,政大,國際經貿
6,6222,國立政治大學,財務管理學系,4,商業、管理及法律,政大,財務管理
6,6172,國立政治大學,金融學系,4,商業、管理及法律,政大,金融
6,6232,國立政治大學,風險管理與保險學系,4,商業、管理及法律,政大,風險管理保險
6,6082,國立政治大學,財政學系,4,商業、管理及法律,政大,財政
6,6342,國立政治大學,法律學系,4,商業、管理及法律,政大,法律
6,6352,國立政治大學,應用數學系,5,自然科學、數學及統計,政大,應用數學
6,6192,國立政治大學,統計學系,5,自然科學、數學及統計,政大,統計
6,6212,國立政治大學,資訊管理學系,6,資訊通訊科技,政大,資管
6,6372,國立政治大學,資訊科學系,6,資訊通訊科技,政大,資科
11,11012,國立清華大學,中國文學系,2,藝術及人文,清大,中文
11,11022,國立清華大學,外國語文學系,2,藝術及人文,清大,外文
11,11032,國立清華大學,人文社會學院學士班,2,藝術及人文,清大,人社學院
11,11042,國立清華大學,經濟學系,3,社會科學、新聞學及圖書資訊,清大,經濟
11,11062,國立清華大學,計量財務金融學系,4,商業、管理及法律,清大,計量財金
11,11052,國立清華大學,科技管理學院學士班,4,商業、管理及法律,清大,科管學士
11,11272,國立清華大學,生命科學系,5,自然科學、數學及統計,清大,生命科學
11,11292,國立清華大學,生命科學院學士班,5,自然科學、數學及統計,清大,生科學士
11,11112,國立清華大學,化學系,5,自然科學、數學及統計,清大,化學
11,11092,國立清華大學,物理學系物理組,5,自然科學、數學及統計,清大,物理物理
11,11102,國立清華大學,物理學系光電物理組,5,自然科學、數學及統計,清大,物理光電物理
11,11122,國立清華大學,理學院學士班,5,自然科學、數學及統計,清大,理學院學士
11,11072,國立清華大學,數學系數學組,5,自然科學、數學及統計,清大,數學系數學
11,11082,國立清華大學,數學系應用數學組,5,自然科學、數學及統計,清大,數學應數
11,11222,國立清華大學,電機工程學系甲組,7,工程、製造及營建,清大,電機甲
11,11232,國立清華大學,電機工程學系乙組,7,工程、製造及營建,清大,電機乙
11,11242,國立清華大學,資訊工程學系甲組(電子資訊組),6,資訊通訊科技,清大,資工甲(電子資訊)
11,11252,國立清華大學,資訊工程學系乙組(資訊工程組),6,資訊通訊科技,清大,資工乙(資工)
11,11262,國立清華大學,電機資訊學院學士班,7,工程、製造及營建,清大,電資學院
11,11182,國立清華大學,動力機械工程學系,7,工程、製造及營建,清大,動力機械
11,11172,國立清華大學,化學工程學系,7,工程、製造及營建,清大,化工
11,11192,國立清華大學,材料科學工程學系,7,工程、製造及營建,清大,材料科學工程
11,11202,國立清華大學,工業工程與工程管理學系,7,工程、製造及營建,清大,工工與工管
11,11132,國立清華大學,生醫工程與環境科學系,7,工程、製造及營建,清大,生醫工程環境
11,11142,國立清華大學,工程與系統科學系甲組,7,工程、製造及營建,清大,工程系統甲
11,11152,國立清華大學,工程與系統科學系乙組,7,工程、製造及營建,清大,工程系統乙
11,11162,國立清華大學,原子科學院學士班,7,工程、製造及營建,清大,原子科學
11,11212,國立清華大學,工學院學士班,7,工程、製造及營建,清大,工學院學士
